last,first,current,grad,undergrad,year,h_score,citations
Chandrasekhar,Arun,Stanford,Columbia,MIT,2012,10,696
Chetty,Raj,Stanford,Harvard,Harvard,2003,35,7570
Dickstein,Michael,Stanford,Cornell,Harvard,2005,NA,NA
Duggan,Mark,Stanford,MIT,Harvard,1999,25,3539
Dupas,Pascaline,Stanford,Ecole ,EHESS,1999,19,3251
Einav,Liran,Stanford,Tel Aviv,Harvard,2002,29,3548
Gentzkow,Matthew,Stanford,Harvard,Harvard,2004,19,4081
Goulder,Lawrence,Stanford,Harvard,Stanford,1982,NA,NA
Greif,Avner,Stanford,Tel Aviv,Northwestern,1989,32,15125
Hall,Robert,Stanford,Berkeley,MIT,NA,73,49546
Hong,Han,Stanford,Zhongshan University,Stanford,1988,25,3535
Hoxby,Caroline,Stanford,Harvard,MIT,1994,51,12114
Jackson,Matthew,Stanford,Princeton,Stanford,1988,64,20049
Jarosch,Gregor,Stanford,University of Tuebingen,UChicago,2015,NA,NA
Kehoe,Patrick,Stanford,Providence College,Harvard,1986,NA,NA
Klenoe,Pete,Stanford,Berkeley,Stanford,1991,35,14678
Kojima,Fuhito,Stanford,University of Tokyo,Harvard,2008,19,1489
Kurlat,Pablo,Stanford,Universidad Torcuato Di Tella,MIT,2010,NA,NA
Larsen,Brad,Stanford,Brigham Young,MIT,2013,5,55
Levin,Jonathan,Stanford,Stanford,MIT,1999,32,5029
Manova,Kalina,Stanford,Harvard,Harvard,2007,11,3204
Milgrom,Paul,Stanford,Michigan,Stanford,1979,69,71646
Niederle,Muirel,Stanford,University of Vienna,Harvard,2002,27,4580
Pencavel,John,Stanford,UCL,Princeton,1969,NA,NA
Persson ,Petra,Stanford,Stockholm University,Columbia,2013,NA,NA
Piazzesi,Monika,Stanford,Univeristy of Heidelberg,Stanford,2000,23,7232
Pistaferri,Luigi,Stanford,IUN,IUN,2001,31,4552
Romano,Joseph,Stanford,Princeton,Berkeley,1986,13,649
Roth,Al,Stanford,Columbia,Stanford,1974,80,34083
Scheur,Florian,Stanford,Univeristy of Konstanz,MIT,2010,9,280
Schneider,Martin,Stanford,University of Bonn,Stanford,1999,24,4282
Segal,Ilya,Stanford,Moscow Institute of Physics and Technology,Harvard,1995,25,4523
Taylor,John,Stanford,Princeton,Stanford,1973,66,37147
Ahn,David,Berkeley,Emory,Stanford,2004,8,445
Akerlof,George,Berkeley,Yale,MIT,1966,8,426
Anderson,Robert,Berkeley,University of Toronto,Yale,1977,116,54856
Auerbach,Alan,Berkeley,Yale,Harvard,1978,71,21706
Bardhan,Pranab,Berkeley,"Presidency College, Calcutta",Cambridge,1966,74,24068
Break,George,Berkeley,University of Toronto,University of California,1951,NA,NA
Brown,Clair,Berkeley,Wellesley,University of Maryland,1973,22,2185
Card,David,Berkeley,Queen's University (Kingston),Princeton,1983,86,43339
Craine,Roger,Berkeley,Washington College,University of Maryland,1972,NA,NA
DeVries,Jan,Berkeley,Columbia,Yale,??,35,7938
DellaVigna,Stefano,Berkeley,Bocconi University,Harvard,2002,21,5977
DeLong,J.Bradford,Berkeley,Harvard,Harvard,1987,28,9575
Edlin,Aaron,Berkeley,Princeton,Stanford,1993,NA,NA
Eichengreen,Barry,Berkeley,"University of California, Santa Cruz",Yale,1979,NA,NA
Ergin,Haluk,Berkeley,Bogazici University,Princeton,2003,NA,NA
Faber,Benjamin,Berkeley,London School of Economics,London School of Economics,2013,NA,NA
Farrell,Joseph,Berkeley,Oxford,Oxford,1981,50,21400
Finan,Frederico,Berkeley,University of Arizon,Berkeley,2006,16,2759
Gaubert,Cecile,Berkeley,Ecole Polytechnique,Princeton,2014,NA,NA
Gilbert,Richard,Berkeley,Cornell,Stanford,1976,69,13574
Gorodnichenko,Yuriy,Berkeley,"National University of Kyiv-Mohyla Academy, Kiev",University of Michigan,2007,28,3874
Gourinchas,Pierre-Olivier,Berkeley,Ecole Polytechnique,MIT,1996,25,8059
Graham,Bryan,Berkeley,Oxford,Harvard,2005,13,1254
Grossman,Gregory,Berkeley,Berkeley,Harvard,1952,NA,NA
Hall,Bronwyn,Berkeley,Wellesley,Stanford,1988,70,36817
Handel,Ben,Berkeley,Princeton,Northwestern,2010,5,307
Hermalin,Benjamin,Berkeley,Princeton,MIT,1988,37,14613
Hoynes,Hilary,Berkeley,Colby College,Stanford,1992,31,5131
Jansson,Michael,Berkeley,"University of Aarhus, Denmark","University of Aarhus, Denmark",2000,13,809
Kariv,Shachar,Berkeley,Tel Aviv University,NYU,2003,NA,NA
Katz,Michael,Berkeley,Harvard,Oxford,1982,22,1316
Kawai,Kei,Berkeley,University of Tokyo,Northwestern,2011,4,96
