Last,First,Current,Undergrad,Grad,Year grad school completion
Roth,Al,Stanford,Columbia,Stanford,1974
Scheur,Florian,Stanford,Univeristy of Konstanz,MIT,2010
Schneider,Martin,Stanford,University of Bonn,Stanford,1999
Segal,Ilya,Stanford,Moscow Institute of Physics and Technology,Harvard,1995
Taylor,John,Stanford,Princeton,Stanford,1973
Ahn,David,Berkeley,Emory,Stanford,2004
Akerlof,George,Berkeley,Yale,MIT,1966
Anderson,Robert,Berkeley,University of Toronto,Yale,1977
Auerbach,Alan,Berkeley,Yale,Harvard,1978
Bardhan,Pranab,Berkeley,"Presidency College, Calcutta",Cambridge,1966
Break,George,Berkeley,University of Toronto,University of California,1951
Brown,Clair,Berkeley,Wellesley,University of Maryland,1973
Card,David,Berkeley,Queen's University (Kingston),Princeton,1983
Craine,Roger,Berkeley,Washington College,University of Maryland,1972
DeVries,Jan,Berkeley,Columbia,Yale,??
DellaVigna,Stefano,Berkeley,Bocconi University,Harvard,2002
DeLong,J.Bradford,Berkeley,Harvard,Harvard,1987
Edlin,Aaron,Berkeley,Princeton,Stanford,1993
Eichengreen,Barry,Berkeley,"University of California, Santa Cruz",Yale,1979
Ergin,Haluk,Berkeley,Bogazici University,Princeton,2003
Faber,Benjamin,Berkeley,London School of Economics,London School of Economics,2013
Farrell,Joseph,Berkeley,Oxford,Oxford,1981
Finan,Frederico,Berkeley,University of Arizon,Berkeley,2006
Gaubert,Cecile,Berkeley,Ecole Polytechnique,Princeton,2014
Gilbert,Richard,Berkeley,Cornell,Stanford,1976
Gorodnichenko,Yuriy,Berkeley,"National University of Kyiv-Mohyla Academy, Kiev",University of Michigan,2007
Gourinchas,Pierre-Olivier,Berkeley,Ecole Polytechnique,MIT,1996
Graham,Bryan,Berkeley,Oxford,Harvard,2005
Grossman,Gregory,Berkeley,Berkeley,Harvard,1952
Hall,Bronwyn,Berkeley,Wellesley,Stanford,1988
Handel,Ben,Berkeley,Princeton,Northwestern,2010
Hermalin,Benjamin,Berkeley,Princeton,MIT,1988
Hoynes,Hilary,Berkeley,Colby College,Stanford,1992
Jansson,Michael,Berkeley,"University of Aarhus, Denmark","University of Aarhus, Denmark",2000
Kariv,Shachar,Berkeley,Tel Aviv University,NYU,2003
Katz,Michael,Berkeley,Harvard,Oxford,1982
Kawai,Kei,Berkeley,University of Tokyo,Northwestern,2011
Keeler,Theodore,Berkeley,Reed,MIT,1971
Kline,Patrick,Berkeley,Reed,University of Michigan,2007
Lee ,Ronald,Berkeley,Reed,Harvard,1971
Letiche,John,Berkeley,McGill,University of Chicago,1951
Malmendier,Ulrike,Berkeley,University of Bonn,Harvard,2002
McFadden,Daniel,Berkeley,University of Minnesota,University of Minnesota,1962
Miguel,Edward,Berkeley,MIT,Harvard,2000
Miller,Conrad,Berkeley,Stanford,MIT,2014
Moretti,Enrico,Berkeley,Bocconi University,Berkeley,2000
Morgan,John,Berkeley,University of Pennsylvania,Pennsylvania State University,1996
Obstfeld,Maurice,Berkeley,University of Pennsylvania,MIT,1979
Olney,Martha,Berkeley,"University of Redlands, California",Berkeley,1985
Pouzo,Demian,Berkeley,Universidad Torcuato De Tella (Argentina),NYU,2009
Powell,James,Berkeley,Berkeley,Stanford,1982
Reich,Michael,Berkeley,Swarthmore,Harvard,???
Rodriquez-Clare,Andres,Berkeley,Universidad de Costa Rica,Stanford,1993
Roland,Gerard,Berkeley,Universite Libre de Bruxelles,Universite Libre de Bruxelles,1988
Romer,Christina,Berkeley,College of William and Mary,MIT,1985
Romer,David,Berkeley,Princeton,MIT,1985
Rothenberg,Thomas,Berkeley,?,?,?
Rothstein,Jesse,Berkeley,Harvard,Berkeley,2003
Rubinfeld,Daniel,Berkeley,Princeton,MIT,1972
Saez,Emmanuel,Berkeley,Ecole Normale Superieure,Mit,1999
Schoefer,Benjamin,Berkeley,Harvard,Harvard,2015
Scotchmer,Suzanne,Berkeley,University of Washington,Berkeley,1980
Shannon,Chris,Berkeley,University of Kansas,Stanford,1992
Shapiro,Carl,Berkeley,MIT,MIT,1981
Sraer,David,Berkeley,Ecole Polytechnique,Toulouse School of Economics,2007
Strack,Philipp,Berkeley,University of Bonn,Bonn Graduate School of Business,2013
Train,Kenneth,Berkeley,Harvard,Berkeley,1977
Tyson,Laura,Berkeley,Smith College,MIT,1974
Varian,Hal,Berkeley,MIT,Berkeley,1973
Walters,Christopher,Berkeley,University of Virginia,MIT,2013
Ward,Benjamin,Berkeley,Berkeley,Berkeley,?
Williamson,Oliver,Berkeley,MIT,Carnegie-Mellon University,1963
Woroch,Glenn,Berkeley,University of Wisconsin--Madison,Berkeley,1983
Yagan,Danny,Berkeley,Harvard,Harvard,2012
Yellen,Janet,Berkeley,Brown,Yale,1971
Zucman,Gabriel,Berkeley,Ecole Normale Superieure de Cachan,Paris School of Economics,2013
Akcigit,Ufuk,UChicago,MIT,Koc University,2009
Alvarez,Fernando,UChicago,Minnesota,Universidad La Plata,1994
Bonhomme,Stephane,UChicago,University of Paris,Ecole,2005
Dinerstein,Michael,UChicago,Stanford,Stanford,2015
Greenstone,Michael,UChicago,Princeton,Swarthmore,1998
Hansen,Lars,UChicago,Minnesota,Utah State,1978
Heckman,James,UChicago,Princeton,Colorado College,1971
Hickman,Brent,UChicago,University of Iowa,Brigham Young,2010
Hortacsu,Ali,UChicago,Stanford,Stanford,2001
Lamadon,Thibaut,UChicago,UCL,Supelec,2014
Levitt,Steven,UChicago,MIT,Harvard,1994
List,John,UChicago,University of Wyoming,University of Wisconsin,1996
Lopes de Melo,Rafael,UChicago,Yale,Pontifican Universidade Catolica Rio ,2006
Murphy,Kevin,UChicago,UChicago,UChicago,1986
Myerson,Roger,UChicago,Harvard,Harvard,1976
Neal,Derek,UChicago,University of Virginia,Stanford,1987
Ravid,Doron,UChicago,Princeton,Tel Aviv,2015
Reny,Philipp,UChicago,Princeton,Carleton University,1988
Schmidt,Lawrence,UChicago,UC San Diego,UC Santa Barbara,2015
Shaikh,Azeem,UChicago,Stanford,Duke,2006
Shimer,Robert,UChicago,MIT,Yale,1996
Stokey,Nancy,UChicago,Harvard,UPenn,1978
Tinteltot,Felix,UChicago,Penn State,Free University Berlin,2013
Uhlig,Harald,UChicago,Minnesota,Technisch Universitat Berlin,1990
Van Weelden,Richard,UChicago,Yale,University of Alberta,2013
Voena,Alessandra,UChicago,Stanford,Universite Lyon ,2011
Weyl,Glen,UChicago,Princeton,Princeton,2011
Lucas,Robert,UChicago,UChicago,UChicago,1964
Sonnenschein,Hugo,UChicago,Purdue,University of Rochester,1964
